Source,CH1,CH2
Second,Volt,Volt
-0.02249999844,-7.36000,-6.64000,
-0.02249600000,-7.36000,-6.72000,
-0.02249200156,-7.36000,-6.64000,
-0.02248800000,-7.36000,-6.64000,
-0.02248400000,-7.36000,-6.64000,
-0.02248000000,-7.28000,-6.64000,
-0.02247600000,-7.36000,-6.64000,
-0.02247200000,-7.28000,-6.72000,
-0.02246800000,-7.36000,-6.64000,
-0.02246400000,-7.36000,-6.64000,
-0.02246000000,-7.36000,-6.72000,
-0.02245600000,-7.36000,-6.64000,
-0.02245200000,-7.36000,-6.72000,
-0.02244800000,-7.36000,-6.64000,
-0.02244400000,-7.28000,-6.64000,
-0.02244000000,-7.28000,-6.64000,
-0.02243600000,-7.36000,-6.72000,
-0.02243200000,-7.36000,-6.72000,
-0.02242800000,-7.36000,-6.64000,
-0.02242400000,-7.36000,-6.72000,
-0.02242000000,-7.36000,-6.72000,
-0.02241600000,-7.36000,-6.72000,
-0.02241200000,-7.36000,-6.72000,
-0.02240800000,-7.28000,-6.64000,
-0.02240400000,-7.36000,-6.72000,
-0.02239999844,-7.36000,-6.72000,
-0.02239600000,-7.36000,-6.72000,
-0.02239199844,-7.36000,-6.72000,
-0.02238800000,-7.36000,-6.72000,
-0.02238399844,-7.36000,-6.72000,
-0.02238000000,-7.28000,-6.72000,
-0.02237599844,-7.36000,-6.72000,
-0.02237200000,-7.36000,-6.72000,
-0.02236800156,-7.36000,-6.72000,
-0.02236400000,-7.36000,-6.72000,
-0.02236000000,-7.36000,-6.80000,
-0.02235600000,-7.36000,-6.72000,
-0.02235200000,-7.36000,-6.80000,
-0.02234800000,-7.36000,-6.80000,
-0.02234400000,-7.28000,-6.72000,
-0.02234000000,-7.28000,-6.80000,
-0.02233600000,-7.36000,-6.72000,
-0.02233200000,-7.36000,-6.80000,
-0.02232800000,-7.36000,-6.80000,
-0.02232400000,-7.36000,-6.80000,
-0.02232000000,-7.28000,-6.72000,
-0.02231600000,-7.36000,-6.80000,
-0.02231200000,-7.36000,-6.72000,
-0.02230800000,-7.28000,-6.80000,
-0.02230400000,-7.36000,-6.72000,
-0.02230000000,-7.36000,-6.72000,
-0.02229600000,-7.36000,-6.80000,
-0.02229200000,-7.36000,-6.72000,
-0.02228800000,-7.36000,-6.80000,
-0.02228400000,-7.36000,-6.80000,
-0.02228000000,-7.36000,-6.80000,
-0.02227599844,-7.36000,-6.80000,
-0.02227200000,-7.36000,-6.80000,
-0.02226799844,-7.36000,-6.72000,
-0.02226400000,-7.36000,-6.80000,
-0.02225999844,-7.36000,-6.80000,
-0.02225600000,-7.36000,-6.80000,
-0.02225200156,-7.36000,-6.80000,
-0.02224800000,-7.36000,-6.80000,
-0.02224400156,-7.36000,-6.80000,
-0.02224000000,-7.36000,-6.80000,
-0.02223600000,-7.36000,-6.80000,
-0.02223200000,-7.36000,-6.80000,
-0.02222800000,-7.36000,-6.80000,
-0.02222400000,-7.36000,-6.88000,
-0.02222000000,-7.36000,-6.80000,
-0.02221600000,-7.36000,-6.88000,
-0.02221200000,-7.36000,-6.80000,
-0.02220800000,-7.36000,-6.80000,
-0.02220400000,-7.36000,-6.80000,
-0.02220000000,-7.36000,-6.80000,
-0.02219600000,-7.36000,-6.88000,
-0.02219200000,-7.36000,-6.88000,
-0.02218800000,-7.36000,-6.80000,
-0.02218400000,-7.36000,-6.88000,
-0.02218000000,-7.36000,-6.80000,
-0.02217600000,-7.36000,-6.88000,
-0.02217200000,-7.36000,-6.80000,
-0.02216800000,-7.36000,-6.80000,
-0.02216400000,-7.36000,-6.80000,
-0.02216000000,-7.28000,-6.88000,
-0.02215600000,-7.36000,-6.80000,
-0.02215199844,-7.36000,-6.80000,
-0.02214800000,-7.36000,-6.80000,
-0.02214399844,-7.36000,-6.88000,
-0.02214000000,-7.36000,-6.88000,
-0.02213599844,-7.36000,-6.88000,
-0.02213200000,-7.36000,-6.80000,
-0.02212800156,-7.36000,-6.88000,
-0.02212400000,-7.36000,-6.88000,
-0.02212000156,-7.36000,-6.88000,
-0.02211600000,-7.36000,-6.88000,
-0.02211200000,-7.36000,-6.88000,
-0.02210800000,-7.36000,-6.80000,
-0.02210400000,-7.36000,-6.88000,
-0.02210000000,-7.36000,-6.88000,
-0.02209600000,-7.36000,-6.88000,
-0.02209200000,-7.36000,-6.88000,
-0.02208800000,-7.36000,-6.88000,
-0.02208400000,-7.36000,-6.88000,
-0.02208000000,-7.36000,-6.88000,
-0.02207600000,-7.36000,-6.88000,
-0.02207200000,-7.36000,-6.88000,
-0.02206800000,-7.36000,-6.88000,
-0.02206400000,-7.36000,-6.88000,
-0.02206000000,-7.28000,-6.88000,
-0.02205600000,-7.44000,-6.88000,
-0.02205200000,-7.36000,-6.88000,
-0.02204800000,-7.36000,-6.88000,
-0.02204400000,-7.36000,-6.88000,
-0.02204000000,-7.36000,-6.88000,
-0.02203600000,-7.36000,-6.88000,
